Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21515","Goat fat, unrendered","2018","2018","t","1691.57"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01330","Grapes","2016","2016","t","874541"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01330","Grapes","2017","2017","t","923831"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01330","Grapes","2018","2018","t","984081"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","0231","Hen eggs in shell, fresh","2016","2016","t","19883.74"
"QCL","Crops and livestock products","AFG","Afghanistan","5513","Production","0231","Hen eggs in shell, fresh","2016","2016","1000 No","397675"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","0231","Hen eggs in shell, fresh","2017","2017","t","20000"
"QCL","Crops and livestock products","AFG","Afghanistan","5513","Production","0231","Hen eggs in shell, fresh","2017","2017","1000 No","400000"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","0231","Hen eggs in shell, fresh","2018","2018","t","20769.87"
"QCL","Crops and livestock products","AFG","Afghanistan","5513","Production","0231","Hen eggs in shell, fresh","2018","2018","1000 No","415397"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01441","Linseed","2016","2016","t","218.5"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01441","Linseed","2017","2017","t","20790.38"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01441","Linseed","2018","2018","t","35500.06"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","0112","Maize (corn)","2016","2016","t","311646"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","0112","Maize (corn)","2017","2017","t","173912"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","0112","Maize (corn)","2018","2018","t","106670"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21117.01","Meat of camels, fresh or chilled","2016","2016","t","3591.95"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21117.01","Meat of camels, fresh or chilled","2017","2017","t","3648.22"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21117.01","Meat of camels, fresh or chilled","2018","2018","t","3644.37"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2016","2016","t","107532.88"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2017","2017","t","115754.24"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2018","2018","t","96126.71"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","2016","2016","t","24297.68"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","2017","2017","t","27637.84"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","2018","2018","t","29315.76"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21116","Meat of goat, fresh or chilled","2016","2016","t","44456.08"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21116","Meat of goat, fresh or chilled","2017","2017","t","45649.31"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21116","Meat of goat, fresh or chilled","2018","2018","t","46048.39"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21115","Meat of sheep, fresh or chilled","2016","2016","t","107668.49"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21115","Meat of sheep, fresh or chilled","2017","2017","t","112540.74"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21115","Meat of sheep, fresh or chilled","2018","2018","t","110000"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","0118","Millet","2016","2016","t","7518.42"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","0118","Millet","2017","2017","t","4850.97"
