Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01371","Almonds, in shell","2019","2019","t","38205"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01371","Almonds, in shell","2020","2020","t","39307"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01371","Almonds, in shell","2021","2021","t","64256"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2019","2019","t","17807.76"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2020","2020","t","17965.9"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2021","2021","t","17876.49"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01341","Apples","2019","2019","t","250324"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01341","Apples","2020","2020","t","270857"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01341","Apples","2021","2021","t","321672"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01343","Apricots","2019","2019","t","129363"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01343","Apricots","2020","2020","t","131788"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01343","Apricots","2021","2021","t","207490"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","0115","Barley","2019","2019","t","123576"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","0115","Barley","2020","2020","t","127757"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","0115","Barley","2021","2021","t","65102"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01701","Beans, dry","2020","2020","t","20441"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01701","Beans, dry","2021","2021","t","35694"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01229","Cantaloupes and other melons","2019","2019","t","464230"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01229","Cantaloupes and other melons","2020","2020","t","793496"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01229","Cantaloupes and other melons","2021","2021","t","796827.04"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21512","Cattle fat, unrendered","2019","2019","t","2183.19"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21512","Cattle fat, unrendered","2020","2020","t","2386.03"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21512","Cattle fat, unrendered","2021","2021","t","1930.72"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21151","Edible offal of cattle, fresh, chilled or frozen","2019","2019","t","15618.19"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21151","Edible offal of cattle, fresh, chilled or frozen","2020","2020","t","17069.33"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21151","Edible offal of cattle, fresh, chilled or frozen","2021","2021","t","13812.09"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21156","Edible offal of goat, fresh, chilled or frozen","2019","2019","t","8992.37"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21156","Edible offal of goat, fresh, chilled or frozen","2020","2020","t","8983.93"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21156","Edible offal of goat, fresh, chilled or frozen","2021","2021","t","9140.9"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21155","Edible offal of sheep, fresh, chilled or frozen","2019","2019","t","22639.66"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21155","Edible offal of sheep, fresh, chilled or frozen","2020","2020","t","22458.33"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21155","Edible offal of sheep, fresh, chilled or frozen","2021","2021","t","21437.5"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21159.02","Edible offals of camels and other camelids, fresh, chilled or frozen","2019","2019","t","546.21"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21159.02","Edible offals of camels and other camelids, fresh, chilled or frozen","2020","2020","t","544.06"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21159.02","Edible offals of camels and other camelids, fresh, chilled or frozen","2021","2021","t","544.37"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21519.02","Fat of camels","2019","2019","t","254.9"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21519.02","Fat of camels","2020","2020","t","253.89"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21519.02","Fat of camels","2021","2021","t","254.04"
