Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21170.02","Game meat, fresh, chilled or frozen","2024","2024","t","8011.9"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21515","Goat fat, unrendered","2022","2022","t","1723.73"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21515","Goat fat, unrendered","2023","2023","t","1735.63"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21515","Goat fat, unrendered","2024","2024","t","1747.5"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01330","Grapes","2022","2022","t","909792"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01330","Grapes","2023","2023","t","1086000"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01330","Grapes","2024","2024","t","1141406.97"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","0231","Hen eggs in shell, fresh","2022","2022","t","21637.07"
"QCL","Crops and livestock products","AFG","Afghanistan","5513","Production","0231","Hen eggs in shell, fresh","2022","2022","1000 No","432741"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","0231","Hen eggs in shell, fresh","2023","2023","t","21802.31"
"QCL","Crops and livestock products","AFG","Afghanistan","5513","Production","0231","Hen eggs in shell, fresh","2023","2023","1000 No","436046"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","0231","Hen eggs in shell, fresh","2024","2024","t","21967.71"
"QCL","Crops and livestock products","AFG","Afghanistan","5513","Production","0231","Hen eggs in shell, fresh","2024","2024","1000 No","439354"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01441","Linseed","2022","2022","t","28579"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01441","Linseed","2023","2023","t","29000"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01441","Linseed","2024","2024","t","27818.64"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","0112","Maize (corn)","2022","2022","t","311000"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","0112","Maize (corn)","2023","2023","t","363000"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","0112","Maize (corn)","2024","2024","t","260000"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21117.01","Meat of camels, fresh or chilled","2022","2022","t","3643.24"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21117.01","Meat of camels, fresh or chilled","2023","2023","t","3646.34"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21117.01","Meat of camels, fresh or chilled","2024","2024","t","3649.17"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2022","2022","t","71967.24"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2023","2023","t","66678.5"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2024","2024","t","61420.58"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","2022","2022","t","28111.17"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","2023","2023","t","28399.8"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21121","Meat of chickens, fresh or chilled","2024","2024","t","28688.92"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21116","Meat of goat, fresh or chilled","2022","2022","t","46923.67"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21116","Meat of goat, fresh or chilled","2023","2023","t","47247.72"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21116","Meat of goat, fresh or chilled","2024","2024","t","47570.93"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21115","Meat of sheep, fresh or chilled","2022","2022","t","102000"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21115","Meat of sheep, fresh or chilled","2023","2023","t","97990.14"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21115","Meat of sheep, fresh or chilled","2024","2024","t","84750.13"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","0118","Millet","2022","2022","t","1913"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","0118","Millet","2023","2023","t","1889"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","0118","Millet","2024","2024","t","1646.07"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01442","Mustard seed","2022","2022","t","1475"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01442","Mustard seed","2023","2023","t","1000"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01442","Mustard seed","2024","2024","t","1116.65"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02910","Natural honey","2022","2022","t","1634.61"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02910","Natural honey","2023","2023","t","1554.44"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02910","Natural honey","2024","2024","t","1467.09"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01450","Olives","2022","2022","t","7954.92"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01450","Olives","2023","2023","t","8031.1"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01450","Olives","2024","2024","t","7912.03"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","2022","2022","t","541000"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","2023","2023","t","586000"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","2024","2024","t","614770.81"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01323","Oranges","2022","2022","t","11165.22"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01323","Oranges","2023","2023","t","8259.73"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01323","Oranges","2024","2024","t","7166.1"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01355.90","Other berries and fruits of the genus vaccinium n.e.c.","2022","2022","t","32543.78"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01355.90","Other berries and fruits of the genus vaccinium n.e.c.","2023","2023","t","32408.48"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01355.90","Other berries and fruits of the genus vaccinium n.e.c.","2024","2024","t","32975.81"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01329","Other citrus fruit, n.e.c.","2022","2022","t","21730.06"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01329","Other citrus fruit, n.e.c.","2023","2023","t","15970.5"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01329","Other citrus fruit, n.e.c.","2024","2024","t","16952.12"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01359.90","Other fruits, n.e.c.","2022","2022","t","61131.05"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01359.90","Other fruits, n.e.c.","2023","2023","t","60867.48"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01359.90","Other fruits, n.e.c.","2024","2024","t","61085.41"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","2022","2022","t","3890.38"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","2023","2023","t","3498.73"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","2024","2024","t","3716.4"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01709.90","Other pulses n.e.c.","2022","2022","t","31452"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01709.90","Other pulses n.e.c.","2023","2023","t","42442"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01709.90","Other pulses n.e.c.","2024","2024","t","44919.65"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01699","Other stimulant, spice and aromatic crops, n.e.c.","2022","2022","t","10.9"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01699","Other stimulant, spice and aromatic crops, n.e.c.","2023","2023","t","17.9"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01699","Other stimulant, spice and aromatic crops, n.e.c.","2024","2024","t","17.19"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01349.20","Other stone fruits","2022","2022","t","50314.49"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01349.20","Other stone fruits","2023","2023","t","50681.06"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01349.20","Other stone fruits","2024","2024","t","50341.84"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01290.90","Other vegetables, fresh n.e.c.","2022","2022","t","763081.83"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01290.90","Other vegetables, fresh n.e.c.","2023","2023","t","728246.49"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01290.90","Other vegetables, fresh n.e.c.","2024","2024","t","723238.43"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01345","Peaches and nectarines","2022","2022","t","101459"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01345","Peaches and nectarines","2023","2023","t","77841"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01345","Peaches and nectarines","2024","2024","t","85571.17"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01342.01","Pears","2022","2022","t","32000"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01342.01","Pears","2023","2023","t","28000"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01342.01","Pears","2024","2024","t","24294.52"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01705","Peas, dry","2022","2022","t","39334"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01705","Peas, dry","2023","2023","t","36730"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01705","Peas, dry","2024","2024","t","38167.2"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01375","Pistachios, in shell","2022","2022","t","2805.31"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01375","Pistachios, in shell","2023","2023","t","2815.4"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01375","Pistachios, in shell","2024","2024","t","2825.38"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01346","Plums and sloes","2022","2022","t","55318.7"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01346","Plums and sloes","2023","2023","t","53723.52"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01346","Plums and sloes","2024","2024","t","48495.37"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01510","Potatoes","2022","2022","t","889000"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01510","Potatoes","2023","2023","t","889000"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01510","Potatoes","2024","2024","t","908218.12"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02951.01","Raw hides and skins of cattle","2022","2022","t","11813.49"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02951.01","Raw hides and skins of cattle","2023","2023","t","10945.34"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02951.01","Raw hides and skins of cattle","2024","2024","t","10082.25"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02954","Raw hides and skins of goats or kids","2022","2022","t","7086.43"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02954","Raw hides and skins of goats or kids","2023","2023","t","7135.37"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02954","Raw hides and skins of goats or kids","2024","2024","t","7184.18"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02953","Raw hides and skins of sheep or lambs","2022","2022","t","16150"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02953","Raw hides and skins of sheep or lambs","2023","2023","t","15515.11"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02953","Raw hides and skins of sheep or lambs","2024","2024","t","13418.77"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02293","Raw milk of camel","2022","2022","t","6850.27"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02293","Raw milk of camel","2023","2023","t","6833.49"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02293","Raw milk of camel","2024","2024","t","6816.62"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02211","Raw milk of cattle","2022","2022","t","1876786.33"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02211","Raw milk of cattle","2023","2023","t","1902352.02"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02211","Raw milk of cattle","2024","2024","t","1928135.81"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02292","Raw milk of goats","2022","2022","t","118055.12"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02292","Raw milk of goats","2023","2023","t","119074.24"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02292","Raw milk of goats","2024","2024","t","120031.31"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02291","Raw milk of sheep","2022","2022","t","194548.06"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02291","Raw milk of sheep","2023","2023","t","191272.91"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02291","Raw milk of sheep","2024","2024","t","194000"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","0113","Rice","2022","2022","t","592000"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","0113","Rice","2023","2023","t","597000"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","0113","Rice","2024","2024","t","654000"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01921.01","Seed cotton, unginned","2022","2022","t","72493"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01921.01","Seed cotton, unginned","2023","2023","t","122455"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01921.01","Seed cotton, unginned","2024","2024","t","120508.05"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01444","Sesame seed","2022","2022","t","41871"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01444","Sesame seed","2023","2023","t","14000"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01444","Sesame seed","2024","2024","t","28799.25"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21514","Sheep fat, unrendered","2022","2022","t","5737.5"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21514","Sheep fat, unrendered","2023","2023","t","5511.95"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21514","Sheep fat, unrendered","2024","2024","t","4767.2"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02941","Shorn wool, greasy, including fleece-washed shorn wool","2022","2022","t","13813.97"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02941","Shorn wool, greasy, including fleece-washed shorn wool","2023","2023","t","13342.13"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02941","Shorn wool, greasy, including fleece-washed shorn wool","2024","2024","t","12909.88"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02944","Silk-worm cocoons suitable for reeling","2022","2022","t","500"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02944","Silk-worm cocoons suitable for reeling","2023","2023","t","500"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02944","Silk-worm cocoons suitable for reeling","2024","2024","t","500"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","0141","Soya beans","2022","2022","t","2906"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","0141","Soya beans","2023","2023","t","6000"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","0141","Soya beans","2024","2024","t","7304.9"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01801","Sugar beet","2022","2022","t","5776"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01801","Sugar beet","2023","2023","t","6000"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01801","Sugar beet","2024","2024","t","6440.82"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01802","Sugar cane","2022","2022","t","58394"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01802","Sugar cane","2023","2023","t","56000"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01802","Sugar cane","2024","2024","t","53326.43"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01445","Sunflower seed","2022","2022","t","745.36"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01445","Sunflower seed","2023","2023","t","1043.94"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01445","Sunflower seed","2024","2024","t","1130.65"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01376","Walnuts, in shell","2022","2022","t","19560"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01376","Walnuts, in shell","2023","2023","t","27000"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01376","Walnuts, in shell","2024","2024","t","27524.43"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01221","Watermelons","2022","2022","t","795285.18"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01221","Watermelons","2023","2023","t","1201969.6"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01221","Watermelons","2024","2024","t","1180436.59"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","0111","Wheat","2022","2022","t","3802895"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","0111","Wheat","2023","2023","t","4350662"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","0111","Wheat","2024","2024","t","5200000"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01341","Apples","2022","2022","t","103645"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01341","Apples","2023","2023","t","97273.87"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01341","Apples","2024","2024","t","100455.03"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01343","Apricots","2022","2022","t","5500"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01343","Apricots","2023","2023","t","5578.33"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01343","Apricots","2024","2024","t","5938.73"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","0115","Barley","2022","2022","t","19014"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","0115","Barley","2023","2023","t","21178.8"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","0115","Barley","2024","2024","t","23791.8"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01701","Beans, dry","2022","2022","t","21770"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01701","Beans, dry","2023","2023","t","23307.2"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01701","Beans, dry","2024","2024","t","24369"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01702","Broad beans and horse beans, dry","2022","2022","t","208"
